
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:59 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Apr 19 2024,SPX240419C00200000,0,0,3862.7,3871.5,0,0,1,0,0,200.00,SPX240419P00200000,0,0,0,0.25,0,0.9424,-0.0002,0,0
Fri Apr 19 2024,SPX240419C00400000,0,0,3672.7,3681.3,0,0,1,0,0,400.00,SPX240419P00400000,0.35,-0.05,0.2,0.6,1,0.793,-0.0006,0,0
Fri Apr 19 2024,SPX240419C00600000,0,0,3482.8,3491.3,0,0,1,0,0,600.00,SPX240419P00600000,1.1,0,0.65,1.1,0,0.7042,-0.0011,0,1
Fri Apr 19 2024,SPX240419C00800000,0,0,3293.1,3301.5,0,0.561,1,0,0,800.00,SPX240419P00800000,1.85,0,1.35,1.75,0,0.6372,-0.0018,0,3
Fri Apr 19 2024,SPX240419C01000000,0,0,3103.6,3111.9,0,0.5425,1,0,0,1000.00,SPX240419P01000000,0,0,2.2,2.6,0,0.581,-0.0029,0,0
Fri Apr 19 2024,SPX240419C01200000,0,0,2914.5,2922.6,0,0.5126,0.9986,0,0,1200.00,SPX240419P01200000,4.4,0,3.4,3.8,0,0.5356,-0.0044,0,116
Fri Apr 19 2024,SPX240419C01400000,0,0,2725.6,2733.7,0,0.48,0.9965,0,0,1400.00,SPX240419P01400000,5.66,0,4.8,5.3,0,0.4945,-0.0065,0,6
Fri Apr 19 2024,SPX240419C01600000,0,0,2537.2,2545.2,0,0.4491,0.9935,0,0,1600.00,SPX240419P01600000,7.91,0,6.7,7.3,0,0.4591,-0.0095,0,6
Fri Apr 19 2024,SPX240419C01700000,0,0,2443.2,2451.2,0,0.4345,0.9916,0,0,1700.00,SPX240419P01700000,13.1,0,7.9,8.4,0,0.4426,-0.0114,0,1
Fri Apr 19 2024,SPX240419C01800000,0,0,2349.4,2357.3,0,0.4204,0.9894,0,0,1800.00,SPX240419P01800000,0,0,9.2,9.8,0,0.4272,-0.0136,0,0
Fri Apr 19 2024,SPX240419C01900000,0,0,2255.8,2263.6,0,0.4068,0.9869,0,0,1900.00,SPX240419P01900000,0,0,10.7,11.3,0,0.4122,-0.0161,0,0
Fri Apr 19 2024,SPX240419C02000000,0,0,2162.4,2170.2,0,0.3938,0.984,0,0,2000.00,SPX240419P02000000,0,0,12.5,13.1,0,0.3985,-0.019,0,0
Fri Apr 19 2024,SPX240419C02100000,0,0,2069.3,2077,0,0.3813,0.9806,0,0,2100.00,SPX240419P02100000,0,0,14.5,15.1,0,0.385,-0.0224,0,0
Fri Apr 19 2024,SPX240419C02200000,0,0,1976.5,1984.2,0,0.3694,0.9767,0,0,2200.00,SPX240419P02200000,18.4,0,16.9,17.4,0,0.3724,-0.0263,0,1
Fri Apr 19 2024,SPX240419C02300000,0,0,1884,1891.7,0,0.3577,0.9722,0,0,2300.00,SPX240419P02300000,0,0,19.6,20.1,0,0.3603,-0.0308,0,0
Fri Apr 19 2024,SPX240419C02350000,0,0,1838,1845.6,0,0.3522,0.9697,0,0,2350.00,SPX240419P02350000,0,0,21.1,21.6,0,0.3545,-0.0333,0,0
Fri Apr 19 2024,SPX240419C02400000,0,0,1792,1799.7,0,0.3468,0.967,0.0001,0,2400.00,SPX240419P02400000,0,0,22.7,23.3,0,0.3489,-0.036,0.0001,0
Fri Apr 19 2024,SPX240419C02450000,0,0,1746.2,1753.8,0,0.3414,0.9641,0.0001,0,2450.00,SPX240419P02450000,32.12,0,24.4,25,0,0.3432,-0.0389,0.0001,1
Fri Apr 19 2024,SPX240419C02500000,0,0,1700.5,1708.1,0,0.3361,0.961,0.0001,0,2500.00,SPX240419P02500000,28.4,0,26.3,26.9,0,0.3378,-0.042,0.0001,100
Fri Apr 19 2024,SPX240419C02550000,0,0,1655,1662.5,0,0.331,0.9576,0.0001,0,2550.00,SPX240419P02550000,30.68,0,28.3,29,0,0.3325,-0.0454,0.0001,1
Fri Apr 19 2024,SPX240419C02600000,0,0,1609.6,1617.1,0,0.3259,0.954,0.0001,0,2600.00,SPX240419P02600000,50,0,30.5,31.2,0,0.3274,-0.049,0.0001,1
Fri Apr 19 2024,SPX240419C02650000,0,0,1564.4,1571.8,0,0.321,0.95,0.0001,0,2650.00,SPX240419P02650000,0,0,32.8,33.5,0,0.3222,-0.053,0.0001,0
Fri Apr 19 2024,SPX240419C02700000,0,0,1519.3,1526.8,0,0.3161,0.9458,0.0001,0,2700.00,SPX240419P02700000,46.48,0,35.3,36.1,0,0.3172,-0.0572,0.0001,4
Fri Apr 19 2024,SPX240419C02725000,1473.9,0,1496.9,1504.3,0,0.3137,0.9436,0.0001,1,2725.00,SPX240419P02725000,0,0,36.7,37.5,0,0.3149,-0.0594,0.0001,0
Fri Apr 19 2024,SPX240419C02750000,0,0,1474.5,1481.9,0,0.3114,0.9413,0.0001,0,2750.00,SPX240419P02750000,50.03,0,38,38.9,0,0.3124,-0.0617,0.0001,104
Fri Apr 19 2024,SPX240419C02775000,0,0,1452.1,1459.5,0,0.3089,0.9389,0.0001,0,2775.00,SPX240419P02775000,0,0,39.4,40.3,0,0.31,-0.0641,0.0001,0
Fri Apr 19 2024,SPX240419C02800000,1407.18,0,1429.8,1437.2,0,0.3066,0.9364,0.0001,1,2800.00,SPX240419P02800000,43.2,0,40.9,41.8,0,0.3076,-0.0666,0.0001,56
Fri Apr 19 2024,SPX240419C02825000,0,0,1407.6,1414.9,0,0.3043,0.9338,0.0001,0,2825.00,SPX240419P02825000,48.21,0,42.5,43.4,0,0.3053,-0.0692,0.0001,4
Fri Apr 19 2024,SPX240419C02850000,0,0,1385.4,1392.8,0,0.3021,0.9312,0.0001,0,2850.00,SPX240419P02850000,0,0,44.1,45,0,0.303,-0.0718,0.0001,0
Fri Apr 19 2024,SPX240419C02875000,0,0,1363.3,1370.6,0,0.2998,0.9284,0.0001,0,2875.00,SPX240419P02875000,0,0,45.7,46.7,0,0.3007,-0.0746,0.0001,0
Fri Apr 19 2024,SPX240419C02900000,1317.64,0,1341.3,1348.5,0,0.2976,0.9255,0.0001,1,2900.00,SPX240419P02900000,49.94,0,47.4,48.4,0,0.2983,-0.0774,0.0001,2
Fri Apr 19 2024,SPX240419C02925000,0,0,1319.3,1326.5,0,0.2953,0.9226,0.0001,0,2925.00,SPX240419P02925000,0,0,49.2,50.2,0,0.2961,-0.0804,0.0001,0
Fri Apr 19 2024,SPX240419C02950000,0,0,1297.3,1304.6,0,0.2931,0.9195,0.0001,0,2950.00,SPX240419P02950000,0,0,51,52.1,0,0.2938,-0.0835,0.0001,0
Fri Apr 19 2024,SPX240419C02975000,0,0,1275.5,1282.7,0,0.2909,0.9163,0.0001,0,2975.00,SPX240419P02975000,0,0,52.9,54,0,0.2916,-0.0867,0.0001,0
Fri Apr 19 2024,SPX240419C03000000,0,0,1253.7,1260.9,0,0.2888,0.9131,0.0001,0,3000.00,SPX240419P03000000,60.96,0,54.9,56,0,0.2894,-0.0899,0.0001,5
Fri Apr 19 2024,SPX240419C03025000,1208.39,0,1232,1239.2,0,0.2866,0.9097,0.0001,1,3025.00,SPX240419P03025000,0,0,56.9,58.1,0,0.2872,-0.0933,0.0001,0
Fri Apr 19 2024,SPX240419C03050000,0,0,1210.4,1217.5,0,0.2845,0.9062,0.0001,0,3050.00,SPX240419P03050000,67.38,0,59,60.3,0,0.285,-0.0968,0.0001,12
Fri Apr 19 2024,SPX240419C03075000,0,0,1188.8,1195.9,0,0.2824,0.9025,0.0001,0,3075.00,SPX240419P03075000,0,0,61.3,62.5,0,0.2829,-0.1005,0.0001,0
Fri Apr 19 2024,SPX240419C03100000,0,0,1167.3,1174.4,0,0.2803,0.8988,0.0002,0,3100.00,SPX240419P03100000,82.99,0,63.6,64.8,0,0.2808,-0.1042,0.0002,11
Fri Apr 19 2024,SPX240419C03125000,1123.72,0,1145.9,1153,0,0.2782,0.8949,0.0002,1,3125.00,SPX240419P03125000,75.69,0,66,67.2,0,0.2787,-0.1081,0.0002,2
Fri Apr 19 2024,SPX240419C03150000,0,0,1124.6,1131.7,0,0.2762,0.8909,0.0002,0,3150.00,SPX240419P03150000,91.93,0,68.4,69.7,0,0.2766,-0.1121,0.0002,38
Fri Apr 19 2024,SPX240419C03175000,0,0,1103.4,1110.4,0,0.2741,0.8868,0.0002,0,3175.00,SPX240419P03175000,93.97,0,70.9,72.2,0,0.2745,-0.1162,0.0002,3
Fri Apr 19 2024,SPX240419C03200000,1060.99,0,1082.3,1089.3,0,0.2721,0.8825,0.0002,1,3200.00,SPX240419P03200000,77.7,0,73.5,74.9,0,0.2724,-0.1204,0.0002,139
Fri Apr 19 2024,SPX240419C03225000,1071.39,17.69,1061.2,1068.2,7,0.27,0.8782,0.0002,0,3225.00,SPX240419P03225000,90.8,0,76.2,77.6,0,0.2703,-0.1248,0.0002,148
Fri Apr 19 2024,SPX240419C03250000,1044.96,12.11,1040.3,1047.2,3,0.268,0.8736,0.0002,0,3250.00,SPX240419P03250000,83.7,0,79.1,80.4,0,0.2683,-0.1294,0.0002,190
Fri Apr 19 2024,SPX240419C03275000,1023.76,11.71,1019.4,1026.3,4,0.266,0.869,0.0002,0,3275.00,SPX240419P03275000,92.87,0,82,83.4,0,0.2663,-0.134,0.0002,188
Fri Apr 19 2024,SPX240419C03300000,1007.13,15.78,998.7,1005.6,16,0.2641,0.8642,0.0002,1,3300.00,SPX240419P03300000,90.9,0,85,86.4,0,0.2643,-0.1388,0.0002,75
Fri Apr 19 2024,SPX240419C03325000,980.95,10.05,978.1,984.9,6,0.2621,0.8592,0.0002,3,3325.00,SPX240419P03325000,0,0,88.1,89.5,0,0.2622,-0.1438,0.0002,0
Fri Apr 19 2024,SPX240419C03350000,959.79,9.39,957.5,964.3,2,0.2601,0.8541,0.0002,0,3350.00,SPX240419P03350000,103.94,0,91.3,92.8,0,0.2603,-0.1489,0.0002,523
Fri Apr 19 2024,SPX240419C03375000,939.58,9.48,937.1,943.9,4,0.2582,0.8488,0.0002,1,3375.00,SPX240419P03375000,102.33,0,94.6,96.1,0,0.2583,-0.1541,0.0002,72
Fri Apr 19 2024,SPX240419C03400000,919.16,9.41,916.8,923.5,6,0.2562,0.8434,0.0002,3,3400.00,SPX240419P03400000,107.46,0,98.1,99.6,0,0.2563,-0.1595,0.0002,467
Fri Apr 19 2024,SPX240419C03425000,0,0,896.6,903.3,0,0.2543,0.8379,0.0002,0,3425.00,SPX240419P03425000,109.5,0,101.6,103.1,0,0.2543,-0.1651,0.0002,6
Fri Apr 19 2024,SPX240419C03450000,0,0,876.5,883.1,0,0.2523,0.8322,0.0002,0,3450.00,SPX240419P03450000,112.1,0,105.3,106.8,0,0.2524,-0.1708,0.0002,26
Fri Apr 19 2024,SPX240419C03475000,838.31,0,856.5,863.1,0,0.2504,0.8263,0.0002,1,3475.00,SPX240419P03475000,117.7,0,109.1,110.6,0,0.2504,-0.1767,0.0002,41
Fri Apr 19 2024,SPX240419C03500000,815.97,0,836.6,843.3,0,0.2485,0.8202,0.0003,3,3500.00,SPX240419P03500000,122,0,113,114.6,0,0.2485,-0.1828,0.0003,2291
Fri Apr 19 2024,SPX240419C03525000,796.99,0,816.9,823.5,0,0.2466,0.814,0.0003,2,3525.00,SPX240419P03525000,127.4,0,117,118.6,0,0.2466,-0.189,0.0003,2
Fri Apr 19 2024,SPX240419C03550000,0,0,797.3,803.8,0,0.2446,0.8076,0.0003,0,3550.00,SPX240419P03550000,121,-4.4,121.2,122.8,1,0.2446,-0.1954,0.0003,49
Fri Apr 19 2024,SPX240419C03575000,0,0,779.7,783.3,0,0.2431,0.8011,0.0003,0,3575.00,SPX240419P03575000,125.4,-4.5,125.4,127.2,3,0.2427,-0.2019,0.0003,12
Fri Apr 19 2024,SPX240419C03600000,740.36,0,760.4,763.9,0,0.2411,0.7943,0.0003,3,3600.00,SPX240419P03600000,142,0,129.9,131.7,0,0.2408,-0.2087,0.0003,625
Fri Apr 19 2024,SPX240419C03625000,719.15,0,741.2,744.7,0,0.2392,0.7874,0.0003,3,3625.00,SPX240419P03625000,134.56,0,134.4,136.3,0,0.2389,-0.2156,0.0003,607
Fri Apr 19 2024,SPX240419C03650000,701.85,0,722,725.6,0,0.2373,0.7803,0.0003,1,3650.00,SPX240419P03650000,138.9,-5,139.1,141,1,0.237,-0.2227,0.0003,610
Fri Apr 19 2024,SPX240419C03675000,0,0,703.1,706.6,0,0.2353,0.773,0.0003,0,3675.00,SPX240419P03675000,143.7,-5.1,143.9,145.8,1,0.235,-0.23,0.0003,19
Fri Apr 19 2024,SPX240419C03700000,664.72,0,684.3,687.8,0,0.2334,0.7655,0.0003,6,3700.00,SPX240419P03700000,148.7,-5.2,148.9,150.8,212,0.2331,-0.2375,0.0003,103
Fri Apr 19 2024,SPX240419C03725000,645.34,0,665.6,669.1,0,0.2314,0.7579,0.0003,4,3725.00,SPX240419P03725000,170.9,0,154,155.9,0,0.2312,-0.2451,0.0003,43
Fri Apr 19 2024,SPX240419C03750000,0,0,647,650.6,0,0.2295,0.75,0.0003,0,3750.00,SPX240419P03750000,172.4,0,159.3,161.2,0,0.2292,-0.253,0.0003,70
Fri Apr 19 2024,SPX240419C03775000,0,0,628.7,632.2,0,0.2276,0.7419,0.0004,0,3775.00,SPX240419P03775000,167.85,-2.15,164.7,166.6,19,0.2273,-0.2611,0.0004,9
Fri Apr 19 2024,SPX240419C03800000,605.67,2.57,610.4,614,19,0.2256,0.7336,0.0004,7,3800.00,SPX240419P03800000,173.45,-2.2,170.2,172.2,19,0.2253,-0.2693,0.0004,296
Fri Apr 19 2024,SPX240419C03825000,587.67,2.57,592.3,595.9,19,0.2236,0.7252,0.0004,6,3825.00,SPX240419P03825000,183.91,0,175.9,177.9,0,0.2233,-0.2778,0.0004,13
Fri Apr 19 2024,SPX240419C03850000,545.43,0,574.4,577.9,0,0.2216,0.7165,0.0004,4,3850.00,SPX240419P03850000,202.88,0,181.7,183.8,0,0.2213,-0.2865,0.0004,66
Fri Apr 19 2024,SPX240419C03875000,458.9,0,556.6,560.1,0,0.2197,0.7076,0.0004,3,3875.00,SPX240419P03875000,191.7,0,187.8,189.8,0,0.2193,-0.2954,0.0004,28
Fri Apr 19 2024,SPX240419C03900000,521.63,0,539,542.5,0,0.2176,0.6984,0.0004,25,3900.00,SPX240419P03900000,196.5,-3.35,193.9,195.9,200,0.2173,-0.3045,0.0004,277
Fri Apr 19 2024,SPX240419C03925000,503.2,0,521.5,525,0,0.2156,0.6891,0.0004,4,3925.00,SPX240419P03925000,200.2,-6.05,200.6,202.3,4,0.2154,-0.3139,0.0004,11
Fri Apr 19 2024,SPX240419C03950000,412.2,0,504.1,507.7,0,0.2135,0.6796,0.0004,2,3950.00,SPX240419P03950000,218.16,0,206.7,208.8,0,0.2132,-0.3234,0.0004,106
Fri Apr 19 2024,SPX240419C03975000,471.08,0,487,490.5,0,0.2114,0.6698,0.0004,7,3975.00,SPX240419P03975000,237.5,0,213.3,215.4,0,0.2112,-0.3332,0.0004,5
Fri Apr 19 2024,SPX240419C04000000,464.2,0,470,473.5,0,0.2093,0.6598,0.0004,2063,4000.00,SPX240419P04000000,237.74,0,220.1,222.2,0,0.209,-0.3432,0.0004,762
Fri Apr 19 2024,SPX240419C04025000,414.31,0,453.2,456.7,0,0.2072,0.6495,0.0004,105,4025.00,SPX240419P04025000,233.43,0,227,229.2,0,0.2069,-0.3535,0.0004,100
Fri Apr 19 2024,SPX240419C04050000,398.46,0,436.5,440,0,0.2051,0.639,0.0004,210,4050.00,SPX240419P04050000,256.9,0,234.2,236.4,0,0.2048,-0.364,0.0004,11
Fri Apr 19 2024,SPX240419C04075000,404.65,0,420.1,423.6,0,0.203,0.6283,0.0005,21,4075.00,SPX240419P04075000,259.27,0,241.5,243.8,0,0.2027,-0.3747,0.0005,55
Fri Apr 19 2024,SPX240419C04100000,407.2,9.35,403.9,407.4,2,0.2008,0.6173,0.0005,1742,4100.00,SPX240419P04100000,249.8,-6.25,249.1,251.4,2,0.2005,-0.3856,0.0005,1092
Fri Apr 19 2024,SPX240419C04125000,391.8,9.85,387.8,391.3,6,0.1986,0.6061,0.0005,1,4125.00,SPX240419P04125000,257.2,-6.8,256.9,259.1,100,0.1983,-0.3969,0.0005,18
Fri Apr 19 2024,SPX240419C04150000,364.08,0,372,375.3,0,0.1964,0.5946,0.0005,100,4150.00,SPX240419P04150000,266.6,-5.5,264.8,267.1,2,0.1962,-0.4083,0.0005,123
Fri Apr 19 2024,SPX240419C04175000,342.27,0,356.5,359.7,0,0.1942,0.5829,0.0005,3,4175.00,SPX240419P04175000,271.2,-9.2,273,275.4,2,0.194,-0.42,0.0005,4
Fri Apr 19 2024,SPX240419C04200000,326.42,0,341.1,344.3,0,0.192,0.571,0.0005,73,4200.00,SPX240419P04200000,304.17,0,281.5,283.8,0,0.1918,-0.432,0.0005,100
Fri Apr 19 2024,SPX240419C04225000,283.2,0,326.4,329.1,0,0.19,0.5587,0.0005,100,4225.00,SPX240419P04225000,0,0,290.2,292.5,0,0.1896,-0.4443,0.0005,0
Fri Apr 19 2024,SPX240419C04250000,311.4,5.6,311.6,314.3,548,0.1878,0.5462,0.0005,759,4250.00,SPX240419P04250000,303.34,-3.61,299.1,301.5,256,0.1875,-0.4568,0.0005,90
Fri Apr 19 2024,SPX240419C04275000,283.32,0,297,299.7,0,0.1856,0.5335,0.0005,3,4275.00,SPX240419P04275000,0,0,308.3,310.8,0,0.1853,-0.4695,0.0005,0
Fri Apr 19 2024,SPX240419C04300000,274.24,0,282.7,285.4,0,0.1834,0.5205,0.0005,1059,4300.00,SPX240419P04300000,320.35,0,317.8,320.3,0,0.1831,-0.4825,0.0005,235
Fri Apr 19 2024,SPX240419C04325000,264.22,0,268.7,271.4,0,0.1812,0.5072,0.0005,588,4325.00,SPX240419P04325000,347.25,0,327.4,330.2,0,0.1809,-0.4958,0.0005,160
