
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:57 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Aug 18 2023,SPX230818C00200000,3884.85,0,3895.9,3901.2,0,0,1,0,11,200.00,SPX230818P00200000,0,0,0,0.05,0,1.4246,0,0,404
Fri Aug 18 2023,SPX230818C00400000,0,0,3699.5,3704.8,0,0,1,0,4,400.00,SPX230818P00400000,0.05,0,0,0.05,0,1.0913,-0.0001,0,8075
Fri Aug 18 2023,SPX230818C00600000,0,0,3503.1,3508.4,0,0,1,0,8,600.00,SPX230818P00600000,0.1,0,0.05,0.1,0,0.9681,-0.0003,0,5515
Fri Aug 18 2023,SPX230818C00800000,0,0,3306.8,3312.1,0,0,1,0,8,800.00,SPX230818P00800000,0.3,0,0.15,0.25,0,0.887,-0.0004,0,3349
Fri Aug 18 2023,SPX230818C01000000,0,0,3110.6,3115.8,0,0,1,0,22,1000.00,SPX230818P01000000,0.4,0,0.3,0.4,0,0.8048,-0.0007,0,6105
Fri Aug 18 2023,SPX230818C01200000,0,0,2914.4,2919.6,0,0.6222,0.9999,0,126,1200.00,SPX230818P01200000,1.15,0,0.5,0.65,0,0.7362,-0.0011,0,2935
Fri Aug 18 2023,SPX230818C01400000,0,0,2718.3,2723.4,0,0.6247,0.9993,0,3,1400.00,SPX230818P01400000,1.1,0,0.8,0.95,0,0.6746,-0.0017,0,714
Fri Aug 18 2023,SPX230818C01600000,0,0,2522.3,2527.4,0,0.5936,0.9985,0,0,1600.00,SPX230818P01600000,1.57,0,1.25,1.35,0,0.6204,-0.0025,0,3021
Fri Aug 18 2023,SPX230818C01700000,0,0,2424.4,2429.5,0,0.5771,0.9979,0,11,1700.00,SPX230818P01700000,1.75,0,1.45,1.6,0,0.5934,-0.0031,0,1262
Fri Aug 18 2023,SPX230818C01800000,0,0,2326.5,2331.6,0,0.5571,0.9972,0,3,1800.00,SPX230818P01800000,2.4,0,1.75,1.9,0,0.5692,-0.0038,0,225
Fri Aug 18 2023,SPX230818C01900000,0,0,2228.6,2233.7,0,0.5353,0.9963,0,0,1900.00,SPX230818P01900000,2.3,0,2.1,2.25,0,0.5459,-0.0047,0,1445
Fri Aug 18 2023,SPX230818C02000000,1946.03,0,2130.8,2135.9,0,0.5153,0.9952,0,4,2000.00,SPX230818P02000000,2.75,0,2.55,2.65,0,0.5239,-0.0058,0,5611
Fri Aug 18 2023,SPX230818C02100000,0,0,2033.1,2038.2,0,0.4963,0.994,0,0,2100.00,SPX230818P02100000,4.3,0,3,3.1,0,0.5017,-0.007,0,914
Fri Aug 18 2023,SPX230818C02200000,0,0,1935.4,1940.5,0,0.4759,0.9925,0,0,2200.00,SPX230818P02200000,3.6,-0.2,3.5,3.7,174,0.4808,-0.0086,0,1062
Fri Aug 18 2023,SPX230818C02300000,0,0,1837.8,1842.9,0,0.4562,0.9907,0,0,2300.00,SPX230818P02300000,4.7,0,4.1,4.2,0,0.4591,-0.0103,0,3828
Fri Aug 18 2023,SPX230818C02350000,1642.72,0,1789.1,1794.1,0,0.4467,0.9897,0,1,2350.00,SPX230818P02350000,5.7,0,4.4,4.6,0,0.4491,-0.0113,0,924
Fri Aug 18 2023,SPX230818C02400000,0,0,1740.4,1745.4,0,0.4369,0.9886,0,0,2400.00,SPX230818P02400000,5.4,0,4.7,4.9,0,0.4383,-0.0124,0,2669
Fri Aug 18 2023,SPX230818C02450000,0,0,1691.6,1696.7,0,0.4274,0.9874,0,0,2450.00,SPX230818P02450000,6.4,0,5.1,5.3,0,0.4285,-0.0136,0,666
Fri Aug 18 2023,SPX230818C02500000,1474.16,0,1642.9,1648,0,0.4177,0.9861,0,1,2500.00,SPX230818P02500000,5.6,-0.45,5.5,5.7,1802,0.4186,-0.0149,0,6834
Fri Aug 18 2023,SPX230818C02550000,0,0,1594.3,1599.3,0,0.4083,0.9847,0,0,2550.00,SPX230818P02550000,7.7,0,6,6.2,0,0.4094,-0.0163,0,2421
Fri Aug 18 2023,SPX230818C02600000,0,0,1545.6,1550.7,0,0.3986,0.9832,0,0,2600.00,SPX230818P02600000,6.72,-0.28,6.4,6.7,142,0.3995,-0.0178,0,3369
Fri Aug 18 2023,SPX230818C02650000,0,0,1497.1,1502.1,0,0.3896,0.9815,0,0,2650.00,SPX230818P02650000,7.1,-0.55,6.9,7.2,4,0.3898,-0.0195,0,323
Fri Aug 18 2023,SPX230818C02675000,0,0,1472.8,1477.8,0,0.3847,0.9806,0,0,2675.00,SPX230818P02675000,8,0,7.2,7.5,0,0.3853,-0.0204,0,357
Fri Aug 18 2023,SPX230818C02700000,0,0,1448.5,1453.6,0,0.3802,0.9797,0,0,2700.00,SPX230818P02700000,8.35,0,7.5,7.8,0,0.3808,-0.0213,0,277
Fri Aug 18 2023,SPX230818C02725000,0,0,1424.3,1429.3,0,0.3757,0.9787,0.0001,0,2725.00,SPX230818P02725000,10.47,0,7.8,8.1,0,0.3761,-0.0223,0.0001,628
Fri Aug 18 2023,SPX230818C02750000,0,0,1400.1,1405.1,0,0.3714,0.9777,0.0001,0,2750.00,SPX230818P02750000,8.18,-0.77,8.2,8.4,10,0.3718,-0.0233,0.0001,793
Fri Aug 18 2023,SPX230818C02775000,0,0,1375.8,1380.9,0,0.3667,0.9766,0.0001,0,2775.00,SPX230818P02775000,8.6,-0.7,8.5,8.8,3,0.3673,-0.0244,0.0001,256
Fri Aug 18 2023,SPX230818C02800000,0,0,1351.6,1356.7,0,0.3622,0.9754,0.0001,5,2800.00,SPX230818P02800000,9.3,-0.4,8.9,9.1,1,0.3628,-0.0256,0.0001,5581
Fri Aug 18 2023,SPX230818C02825000,0,0,1327.5,1332.5,0,0.358,0.9742,0.0001,0,2825.00,SPX230818P02825000,10.3,0,9.2,9.5,0,0.3582,-0.0268,0.0001,1812
Fri Aug 18 2023,SPX230818C02850000,0,0,1303.3,1308.3,0,0.3534,0.973,0.0001,0,2850.00,SPX230818P02850000,9.6,-0.95,9.6,9.9,7,0.3538,-0.028,0.0001,1349
Fri Aug 18 2023,SPX230818C02875000,0,0,1279.2,1284.2,0,0.3494,0.9716,0.0001,10,2875.00,SPX230818P02875000,11.25,0,10,10.3,0,0.3494,-0.0294,0.0001,571
Fri Aug 18 2023,SPX230818C02900000,0,0,1255.1,1260,0,0.3449,0.9702,0.0001,0,2900.00,SPX230818P02900000,10.5,-1,10.5,10.8,2,0.3455,-0.0308,0.0001,3116
Fri Aug 18 2023,SPX230818C02925000,1256.47,0,1231,1236,0,0.3409,0.9687,0.0001,1,2925.00,SPX230818P02925000,11.9,0,10.9,11.2,0,0.3408,-0.0323,0.0001,1151
Fri Aug 18 2023,SPX230818C02950000,0,0,1206.9,1211.9,0,0.3365,0.9671,0.0001,0,2950.00,SPX230818P02950000,11.4,-1.15,11.5,11.7,4,0.3369,-0.0339,0.0001,4420
Fri Aug 18 2023,SPX230818C02975000,0,0,1182.9,1187.9,0,0.3325,0.9654,0.0001,0,2975.00,SPX230818P02975000,14.83,0,11.9,12.2,0,0.3324,-0.0356,0.0001,492
Fri Aug 18 2023,SPX230818C03000000,1144.04,0,1158.9,1163.8,0,0.3282,0.9635,0.0001,8,3000.00,SPX230818P03000000,12.6,-1.15,12.5,12.8,2,0.3286,-0.0375,0.0001,7876
Fri Aug 18 2023,SPX230818C03025000,0,0,1134.9,1139.9,0,0.3243,0.9616,0.0001,0,3025.00,SPX230818P03025000,16.4,0,13.1,13.4,0,0.3246,-0.0394,0.0001,689
Fri Aug 18 2023,SPX230818C03050000,0,0,1111,1115.9,0,0.3202,0.9595,0.0001,1,3050.00,SPX230818P03050000,15.25,0,13.7,14,0,0.3204,-0.0415,0.0001,2039
Fri Aug 18 2023,SPX230818C03075000,0,0,1087.1,1092,0,0.3162,0.9573,0.0001,0,3075.00,SPX230818P03075000,16.15,0,14.4,14.7,0,0.3167,-0.0437,0.0001,1437
Fri Aug 18 2023,SPX230818C03100000,0,0,1063.3,1068.2,0,0.3126,0.955,0.0001,0,3100.00,SPX230818P03100000,15.5,-1.05,15.1,15.4,6,0.3127,-0.046,0.0001,2838
Fri Aug 18 2023,SPX230818C03125000,1059.94,0,1039.5,1044.4,0,0.3088,0.9525,0.0001,3,3125.00,SPX230818P03125000,17.37,0,15.8,16.2,0,0.3089,-0.0485,0.0001,403
Fri Aug 18 2023,SPX230818C03150000,0,0,1015.8,1020.6,0,0.305,0.9498,0.0001,0,3150.00,SPX230818P03150000,16.5,-1.75,16.7,17,6,0.3053,-0.0512,0.0001,1283
Fri Aug 18 2023,SPX230818C03175000,882.64,0,992.1,996.9,0,0.3013,0.947,0.0001,40,3175.00,SPX230818P03175000,17.28,-1.97,17.5,17.9,4,0.3015,-0.054,0.0001,619
Fri Aug 18 2023,SPX230818C03200000,835.98,0,968.4,973.3,0,0.2976,0.9439,0.0002,3,3200.00,SPX230818P03200000,18.7,-1.5,18.5,18.8,7,0.298,-0.0571,0.0002,4732
Fri Aug 18 2023,SPX230818C03225000,838.26,0,944.9,949.7,0,0.2941,0.9407,0.0002,1,3225.00,SPX230818P03225000,22.06,0,19.4,19.8,0,0.2942,-0.0603,0.0002,503
Fri Aug 18 2023,SPX230818C03250000,816.06,0,921.4,926.2,0,0.2905,0.9372,0.0002,22,3250.00,SPX230818P03250000,20.31,-2.09,20.5,20.8,10,0.2907,-0.0638,0.0002,2017
Fri Aug 18 2023,SPX230818C03275000,777.43,0,897.9,902.7,0,0.2868,0.9336,0.0002,9,3275.00,SPX230818P03275000,23.39,0,21.6,22,0,0.2872,-0.0674,0.0002,357
Fri Aug 18 2023,SPX230818C03280000,0,0,893.3,898,0,0.2862,0.9328,0.0002,0,3280.00,SPX230818P03280000,36.67,0,21.8,22.2,0,0.2864,-0.0682,0.0002,41
Fri Aug 18 2023,SPX230818C03290000,0,0,883.9,888.7,0,0.2848,0.9312,0.0002,0,3290.00,SPX230818P03290000,35.77,0,22.3,22.7,0,0.2851,-0.0698,0.0002,167
Fri Aug 18 2023,SPX230818C03300000,774.57,0,874.6,879.4,0,0.2836,0.9296,0.0002,7,3300.00,SPX230818P03300000,22.95,-2,22.8,23.2,14,0.2838,-0.0714,0.0002,3883
Fri Aug 18 2023,SPX230818C03310000,0,0,865.3,870,0,0.2821,0.928,0.0002,0,3310.00,SPX230818P03310000,27.88,0,23.3,23.7,0,0.2824,-0.073,0.0002,101
Fri Aug 18 2023,SPX230818C03320000,0,0,856,860.7,0,0.2808,0.9263,0.0002,0,3320.00,SPX230818P03320000,28.79,0,23.8,24.2,0,0.281,-0.0747,0.0002,46
Fri Aug 18 2023,SPX230818C03325000,750.49,0,851.3,856.1,0,0.2801,0.9255,0.0002,4,3325.00,SPX230818P03325000,26.62,0,24.1,24.5,0,0.2804,-0.0755,0.0002,2027
Fri Aug 18 2023,SPX230818C03330000,0,0,846.7,851.4,0,0.2794,0.9246,0.0002,0,3330.00,SPX230818P03330000,30.23,0,24.4,24.7,0,0.2797,-0.0764,0.0002,12
Fri Aug 18 2023,SPX230818C03340000,0,0,837.4,842.2,0,0.278,0.9228,0.0002,0,3340.00,SPX230818P03340000,32.32,0,24.9,25.3,0,0.2784,-0.0782,0.0002,107
Fri Aug 18 2023,SPX230818C03350000,728.32,0,828.2,832.9,0,0.2769,0.921,0.0002,7,3350.00,SPX230818P03350000,25.25,-2.6,25.5,25.9,30,0.2772,-0.08,0.0002,2301
Fri Aug 18 2023,SPX230818C03360000,0,0,818.9,823.6,0,0.2754,0.9192,0.0002,0,3360.00,SPX230818P03360000,29.12,0,26.1,26.4,0,0.2758,-0.0818,0.0002,112
Fri Aug 18 2023,SPX230818C03370000,0,0,809.7,814.4,0,0.2742,0.9173,0.0002,0,3370.00,SPX230818P03370000,29.72,0,26.7,27,0,0.2745,-0.0837,0.0002,113
Fri Aug 18 2023,SPX230818C03375000,652.29,0,805.1,809.8,0,0.2736,0.9163,0.0002,35,3375.00,SPX230818P03375000,28.23,-1.27,27,27.3,1,0.2738,-0.0847,0.0002,584
