
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:58 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 15 2023,SPX231215C00100000,3969.4,0,3974.3,3980.7,0,0,1,0,571,100.00,SPX231215P00100000,0.05,0,0,0.05,0,1.2804,0,0,5499
Fri Dec 15 2023,SPX231215C00200000,3861.31,0,3877.7,3884.1,0,0,1,0,133,200.00,SPX231215P00200000,0.05,-0.025,0,0.05,1,1.0311,-0.0001,0,1949
Fri Dec 15 2023,SPX231215C00300000,3764.66,0,3781.1,3787.5,0,0,1,0,54,300.00,SPX231215P00300000,0.05,-0.05,0.05,0.15,12,0.9766,-0.0002,0,2897
Fri Dec 15 2023,SPX231215C00400000,3645,0,3684.5,3690.9,0,0,1,0,25,400.00,SPX231215P00400000,0.25,0,0.15,0.3,7710,0.9232,-0.0003,0,8409
Fri Dec 15 2023,SPX231215C00500000,3565.36,0,3588,3594.3,0,0,1,0,12,500.00,SPX231215P00500000,0.35,0,0.3,0.4,0,0.8653,-0.0005,0,36102
Fri Dec 15 2023,SPX231215C00600000,0,0,3491.5,3497.8,0,0,1,0,12,600.00,SPX231215P00600000,0.5,0,0.35,0.55,0,0.808,-0.0007,0,13116
Fri Dec 15 2023,SPX231215C00700000,0,0,3395,3401.3,0,0,1,0,9,700.00,SPX231215P00700000,0.65,0,0.55,0.7,0,0.7664,-0.0009,0,4502
Fri Dec 15 2023,SPX231215C00800000,0,0,3298.6,3304.8,0,0.591,1,0,4,800.00,SPX231215P00800000,0.95,0.1,0.75,0.95,1927,0.7308,-0.0011,0,9405
Fri Dec 15 2023,SPX231215C00900000,2964,0,3202.2,3208.4,0,0.6247,1,0,14,900.00,SPX231215P00900000,1.15,0,1,1.2,0,0.6972,-0.0014,0,992
Fri Dec 15 2023,SPX231215C01000000,3120.51,0,3105.8,3112,0,0.6143,0.9997,0,17588,1000.00,SPX231215P01000000,1.45,0,1.25,1.45,0,0.6644,-0.0018,0,23886
Fri Dec 15 2023,SPX231215C01100000,0,0,3009.5,3015.6,0,0.5985,0.9993,0,15194,1100.00,SPX231215P01100000,1.75,0,1.6,1.75,0,0.6359,-0.0023,0,2208
Fri Dec 15 2023,SPX231215C01200000,2788.2,0,2913.2,2919.3,0,0.5805,0.9987,0,15195,1200.00,SPX231215P01200000,2.1,-0.025,1.95,2.15,856,0.6096,-0.0028,0,12620
Fri Dec 15 2023,SPX231215C01300000,0,0,2816.9,2823,0,0.5597,0.998,0,15193,1300.00,SPX231215P01300000,2.9,0,2.4,2.55,0,0.5848,-0.0035,0,7832
Fri Dec 15 2023,SPX231215C01400000,0,0,2720.8,2726.8,0,0.5422,0.9972,0,8,1400.00,SPX231215P01400000,3.6,0,2.85,3.1,0,0.5618,-0.0043,0,32504
Fri Dec 15 2023,SPX231215C01500000,2455.57,0,2624.7,2630.7,0,0.5241,0.9963,0,8,1500.00,SPX231215P01500000,4.35,0,3.4,3.6,0,0.5393,-0.0053,0,20882
Fri Dec 15 2023,SPX231215C01600000,0,0,2528.6,2534.7,0,0.5057,0.9951,0,52,1600.00,SPX231215P01600000,4.28,-0.02,4,4.2,482,0.518,-0.0064,0,40207
Fri Dec 15 2023,SPX231215C01700000,0,0,2432.7,2438.7,0,0.488,0.9938,0,190,1700.00,SPX231215P01700000,6,0,4.7,4.9,0,0.498,-0.0078,0,22921
Fri Dec 15 2023,SPX231215C01750000,0,0,2384.8,2390.8,0,0.4798,0.993,0,3,1750.00,SPX231215P01750000,5.3,-0.2,5.1,5.3,1,0.4885,-0.0085,0,1982
Fri Dec 15 2023,SPX231215C01800000,2233,0,2336.9,2342.8,0,0.4708,0.9922,0,13,1800.00,SPX231215P01800000,6.1,0,5.5,5.7,0,0.479,-0.0093,0,25299
Fri Dec 15 2023,SPX231215C01850000,0,0,2289,2295,0,0.4627,0.9913,0,11,1850.00,SPX231215P01850000,8.8,0,5.9,6.2,0,0.4698,-0.0102,0,2049
Fri Dec 15 2023,SPX231215C01900000,2121.67,0,2241.2,2247.1,0,0.4544,0.9904,0,8,1900.00,SPX231215P01900000,6.86,0,6.4,6.7,0,0.4611,-0.0112,0,9392
Fri Dec 15 2023,SPX231215C01950000,0,0,2193.3,2199.3,0,0.4459,0.9893,0,2,1950.00,SPX231215P01950000,7.25,-0.25,6.9,7.2,284,0.4522,-0.0122,0,1702
