
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:59 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Feb 16 2024,SPX240216C00200000,3874.88,0,3871,3879.1,0,0,1,0,36,200.00,SPX240216P00200000,0.13,0,0,0.15,0,0.9933,-0.0002,0,3
Fri Feb 16 2024,SPX240216C00400000,0,0,3679.5,3687.5,0,0,1,0,16,400.00,SPX240216P00400000,0.35,0,0.15,0.45,0,0.8466,-0.0005,0,1163
Fri Feb 16 2024,SPX240216C00600000,0,0,3488.2,3496.1,0,0,1,0,0,600.00,SPX240216P00600000,0.85,0,0.55,0.75,0,0.7484,-0.0009,0,20
Fri Feb 16 2024,SPX240216C00800000,0,0,3297,3304.8,0,0,1,0,0,800.00,SPX240216P00800000,1.34,0,1.1,1.3,0,0.6779,-0.0015,0,735
Fri Feb 16 2024,SPX240216C01000000,2855.65,0,3105.9,3113.6,0,0.5379,1,0,11,1000.00,SPX240216P01000000,4.3,0,1.8,2.05,0,0.6192,-0.0024,0,15
Fri Feb 16 2024,SPX240216C01200000,0,0,2915.1,2922.7,0,0.5265,0.9988,0,0,1200.00,SPX240216P01200000,3.3,0,2.75,3,0,0.5691,-0.0037,0,313
Fri Feb 16 2024,SPX240216C01400000,2610.1,0,2724.6,2732.1,0,0.4992,0.997,0,1,1400.00,SPX240216P01400000,6.5,0,3.9,4.2,0,0.5244,-0.0055,0,131
Fri Feb 16 2024,SPX240216C01600000,0,0,2534.4,2541.8,0,0.4684,0.9945,0,0,1600.00,SPX240216P01600000,7.45,0,5.5,5.8,0,0.4859,-0.008,0,2251
Fri Feb 16 2024,SPX240216C01700000,2243.88,0,2439.4,2446.8,0,0.4527,0.9928,0,1,1700.00,SPX240216P01700000,7.2,0,6.3,6.7,0,0.467,-0.0096,0,19
Fri Feb 16 2024,SPX240216C01800000,0,0,2344.6,2352,0,0.4383,0.991,0,0,1800.00,SPX240216P01800000,7.85,0,7.4,7.7,0,0.4496,-0.0115,0,26
Fri Feb 16 2024,SPX240216C01900000,0,0,2250,2257.3,0,0.424,0.9888,0,0,1900.00,SPX240216P01900000,16.5,0,8.5,8.9,0,0.4329,-0.0137,0,13
Fri Feb 16 2024,SPX240216C02000000,1982.2,0,2155.5,2162.8,0,0.41,0.9863,0,11,2000.00,SPX240216P02000000,10.49,0,9.8,10.2,0,0.4168,-0.0162,0,106
Fri Feb 16 2024,SPX240216C02100000,1818.7,0,2061.2,2068.5,0,0.3963,0.9834,0,1,2100.00,SPX240216P02100000,24.75,0,11.4,11.8,0,0.4021,-0.0191,0,6
Fri Feb 16 2024,SPX240216C02200000,1720.75,0,1967.1,1974.4,0,0.3829,0.9801,0,48,2200.00,SPX240216P02200000,25.3,0,13.2,13.6,0,0.3878,-0.0224,0,716
