
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:58 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 19 2024,SPX240119C00200000,3731.8,0,3875.6,3882.6,0,0,1,0,576,200.00,SPX240119P00200000,0.15,0,0.05,0.1,0,1.0403,-0.0001,0,1267
Fri Jan 19 2024,SPX240119C00400000,3564.47,0,3683.4,3690.3,0,0,1,0,585,400.00,SPX240119P00400000,0.35,0,0.3,0.35,0,0.8924,-0.0004,0,27415
Fri Jan 19 2024,SPX240119C00600000,0,0,3491.3,3498.2,0,0,1,0,3,600.00,SPX240119P00600000,0.6,0,0.5,0.65,20,0.7748,-0.0008,0,3518
Fri Jan 19 2024,SPX240119C00800000,0,0,3299.3,3306.1,0,0.542,1,0,9,800.00,SPX240119P00800000,1,-0.025,0.95,1.15,20,0.7001,-0.0013,0,2438
Fri Jan 19 2024,SPX240119C01000000,0,0,3107.5,3114.2,0,0.5824,1,0,16,1000.00,SPX240119P01000000,1.65,-0.05,1.6,1.7,20,0.637,-0.0021,0,3582
Fri Jan 19 2024,SPX240119C01200000,0,0,2915.8,2922.5,0,0.5515,0.999,0,2,1200.00,SPX240119P01200000,2.6,0,2.4,2.55,0,0.585,-0.0032,0,2328
Fri Jan 19 2024,SPX240119C01400000,0,0,2724.4,2731,0,0.5168,0.9973,0,2,1400.00,SPX240119P01400000,3.6,-0.05,3.4,3.7,1,0.5395,-0.0049,0,1936
Fri Jan 19 2024,SPX240119C01600000,0,0,2533.4,2539.9,0,0.484,0.995,0,25,1600.00,SPX240119P01600000,5.4,0,4.8,5,0,0.4983,-0.0072,0,2526
Fri Jan 19 2024,SPX240119C01700000,0,0,2438,2444.5,0,0.4676,0.9935,0,4,1700.00,SPX240119P01700000,6.2,0,5.5,5.8,0,0.4787,-0.0087,0,665
Fri Jan 19 2024,SPX240119C01800000,2085.88,0,2342.7,2349.2,0,0.4515,0.9917,0,5,1800.00,SPX240119P01800000,8.6,0,6.4,6.7,0,0.4605,-0.0104,0,1133
Fri Jan 19 2024,SPX240119C01900000,0,0,2247.5,2254,0,0.4356,0.9898,0,4,1900.00,SPX240119P01900000,8.5,0,7.5,7.8,0,0.4436,-0.0124,0,969
Fri Jan 19 2024,SPX240119C02000000,0,0,2152.5,2158.9,0,0.4202,0.9874,0,19,2000.00,SPX240119P02000000,10.3,0,8.6,8.9,0,0.4266,-0.0147,0,4200
Fri Jan 19 2024,SPX240119C02100000,0,0,2057.7,2064.1,0,0.4059,0.9848,0,24,2100.00,SPX240119P02100000,15.9,0,10,10.3,0,0.4111,-0.0174,0,457
