
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:56 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jun 16 2023,SPX230616C00200000,3901.5,9.6,3903.7,3908.5,15,0,1,0,328,200.00,SPX230616P00200000,0.05,0,0,0.05,0,1.989,0,0,993
Fri Jun 16 2023,SPX230616C00400000,3553.7,0,3705.5,3710.4,0,0,1,0,292,400.00,SPX230616P00400000,0.03,0,0,0.05,0,1.5228,0,0,9876
Fri Jun 16 2023,SPX230616C00600000,0,0,3507.5,3512.3,0,0,1,0,1,600.00,SPX230616P00600000,0.05,0,0,0.05,0,1.2567,-0.0001,0,5497
Fri Jun 16 2023,SPX230616C00800000,0,0,3309.4,3314.2,0,0,1,0,81,800.00,SPX230616P00800000,0.07,0,0,0.05,0,1.0702,-0.0001,0,2036
Fri Jun 16 2023,SPX230616C01000000,3079.18,0,3111.4,3116.1,0,0,1,0,26563,1000.00,SPX230616P01000000,0.05,0,0,0.1,0,0.9686,-0.0002,0,30055
Fri Jun 16 2023,SPX230616C01100000,2757.58,0,3012.4,3017.1,0,0,1,0,11487,1100.00,SPX230616P01100000,0.1,0,0,0.1,0,0.9049,-0.0003,0,9340
Fri Jun 16 2023,SPX230616C01200000,2881.08,0,2913.2,2918,0,0,1,0,11445,1200.00,SPX230616P01200000,0.1,0,0.05,0.15,0,0.8885,-0.0004,0,23757
Fri Jun 16 2023,SPX230616C01300000,0,0,2814.2,2819,0,0,1,0,11432,1300.00,SPX230616P01300000,1.25,0,0.1,0.15,0,0.8466,-0.0005,0,16849
Fri Jun 16 2023,SPX230616C01400000,2577.02,0,2715.2,2720,0,0,1,0,4,1400.00,SPX230616P01400000,0.2,0,0.1,0.2,0,0.8051,-0.0006,0,21563
Fri Jun 16 2023,SPX230616C01500000,2472.67,0,2616.1,2620.9,0,0,1,0,20,1500.00,SPX230616P01500000,0.18,0,0.1,0.2,0,0.7557,-0.0007,0,23160
