
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:59 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Mar 15 2024,SPX240315C00200000,3719.2,0,3866,3874.6,0,0,1,0,18,200.00,SPX240315P00200000,0.15,0,0,0.2,0,0.9724,-0.0002,0,25
Fri Mar 15 2024,SPX240315C00400000,0,0,3675.2,3683.6,0,0,1,0,9,400.00,SPX240315P00400000,0.35,0,0.2,0.4,0,0.8115,-0.0005,0,986
Fri Mar 15 2024,SPX240315C00600000,0,0,3484.5,3492.8,0,0,1,0,0,600.00,SPX240315P00600000,0.7,-0.025,0.6,0.8,229,0.7227,-0.001,0,83
Fri Mar 15 2024,SPX240315C00800000,0,0,3294,3302.2,0,0.5573,1,0,0,800.00,SPX240315P00800000,1.3,-0.05,1.25,1.45,9,0.6581,-0.0016,0,239
Fri Mar 15 2024,SPX240315C01000000,3097.14,0,3103.6,3111.7,0,0.552,1,0,27,1000.00,SPX240315P01000000,2.22,0,2.05,2.25,0,0.6013,-0.0026,0,548
Fri Mar 15 2024,SPX240315C01200000,0,0,2913.5,2921.6,0,0.5249,0.9988,0,0,1200.00,SPX240315P01200000,4.17,0,3.1,3.4,0,0.5541,-0.004,0,1846
Fri Mar 15 2024,SPX240315C01400000,0,0,2723.8,2731.7,0,0.493,0.9968,0,0,1400.00,SPX240315P01400000,4.92,0,4.5,4.8,0,0.5123,-0.006,0,874
Fri Mar 15 2024,SPX240315C01600000,2422.94,0,2534.4,2542.2,0,0.4609,0.994,0,3,1600.00,SPX240315P01600000,6.5,-0.05,6.2,6.5,1,0.4741,-0.0088,0,3512
Fri Mar 15 2024,SPX240315C01700000,0,0,2439.9,2447.7,0,0.446,0.9922,0,0,1700.00,SPX240315P01700000,7.5,-0.15,7.2,7.5,118,0.4563,-0.0106,0,570
Fri Mar 15 2024,SPX240315C01800000,2225,0,2345.5,2353.2,0,0.4307,0.9902,0,1,1800.00,SPX240315P01800000,8.6,-0.3,8.3,8.7,1,0.4395,-0.0126,0,2105
Fri Mar 15 2024,SPX240315C01900000,0,0,2251.3,2259,0,0.4166,0.9878,0,0,1900.00,SPX240315P01900000,10.4,0,9.6,10,0,0.4235,-0.015,0,378
Fri Mar 15 2024,SPX240315C02000000,2150.87,0,2157.3,2165,0,0.4029,0.9852,0,27,2000.00,SPX240315P02000000,11.6,-0.3,11.2,11.5,9,0.4086,-0.0176,0,2061
Fri Mar 15 2024,SPX240315C02100000,1954.79,0,2063.5,2071.2,0,0.3896,0.982,0,2,2100.00,SPX240315P02100000,17.15,0,12.9,13.3,0,0.3943,-0.0208,0,1007
Fri Mar 15 2024,SPX240315C02200000,0,0,1970,1977.6,0,0.3767,0.9785,0,0,2200.00,SPX240315P02200000,15.1,-0.8,15,15.4,63,0.381,-0.0243,0,1053
Fri Mar 15 2024,SPX240315C02300000,1860.08,0,1876.9,1884.4,0,0.3646,0.9743,0,1,2300.00,SPX240315P02300000,17.9,-0.5,17.3,17.7,3,0.3678,-0.0285,0,2119
Fri Mar 15 2024,SPX240315C02350000,0,0,1830.4,1838,0,0.3587,0.972,0,0,2350.00,SPX240315P02350000,19.2,-0.55,18.6,19.1,1,0.3616,-0.0308,0,192
Fri Mar 15 2024,SPX240315C02400000,1636,0,1784.1,1791.6,0,0.3529,0.9694,0,6,2400.00,SPX240315P02400000,21.96,0,20,20.5,0,0.3555,-0.0334,0,6195
Fri Mar 15 2024,SPX240315C02450000,0,0,1737.9,1745.4,0,0.3473,0.9667,0.0001,0,2450.00,SPX240315P02450000,22.24,-0.61,21.6,22,4,0.3496,-0.0361,0.0001,683
Fri Mar 15 2024,SPX240315C02500000,0,0,1691.8,1699.2,0,0.3416,0.9638,0.0001,0,2500.00,SPX240315P02500000,26.57,0,23.2,23.7,0,0.3437,-0.039,0.0001,1845
Fri Mar 15 2024,SPX240315C02550000,0,0,1645.8,1653.2,0,0.336,0.9606,0.0001,0,2550.00,SPX240315P02550000,45.54,0,25,25.5,0,0.338,-0.0422,0.0001,1018
Fri Mar 15 2024,SPX240315C02600000,0,0,1600,1607.4,0,0.3308,0.9572,0.0001,0,2600.00,SPX240315P02600000,29.34,0,26.9,27.5,0,0.3325,-0.0456,0.0001,459
Fri Mar 15 2024,SPX240315C02650000,0,0,1554.3,1561.7,0,0.3255,0.9535,0.0001,0,2650.00,SPX240315P02650000,33.9,0,29,29.6,0,0.3271,-0.0493,0.0001,363
Fri Mar 15 2024,SPX240315C02700000,0,0,1508.8,1516.1,0,0.3202,0.9495,0.0001,0,2700.00,SPX240315P02700000,31.3,-1.65,31.3,31.8,6,0.3218,-0.0533,0.0001,1528
Fri Mar 15 2024,SPX240315C02725000,0,0,1486.1,1493.4,0,0.3177,0.9473,0.0001,0,2725.00,SPX240315P02725000,43.4,0,32.5,33.1,0,0.3193,-0.0555,0.0001,120
Fri Mar 15 2024,SPX240315C02750000,0,0,1463.4,1470.8,0,0.3152,0.9451,0.0001,0,2750.00,SPX240315P02750000,34.8,0,33.7,34.3,0,0.3166,-0.0577,0.0001,408
