
Standard & Poors 500 Index,Last: 4121.4199,Change:  12.3099
"Date: April 11, 2023 at 3:46 PM EDT",Bid: 4120.7598,Ask: 4121.9702,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri May 19 2023,SPX230519C00200000,3726.23,0,3913.4,3918,0,0,1,0,50,200.00,SPX230519P00200000,0.03,0,0,0.05,0,2.6213,0,0,424
Fri May 19 2023,SPX230519C00400000,3718.54,0,3714.5,3719.1,0,0,1,0,17,400.00,SPX230519P00400000,0.03,0,0,0.05,0,2.0067,0,0,627
Fri May 19 2023,SPX230519C00600000,3499,0,3515.6,3520.1,0,0,1,0,17,600.00,SPX230519P00600000,0.05,0,0,0.05,0,1.6556,0,0,10563
Fri May 19 2023,SPX230519C00800000,3197.4,0,3316.7,3321.2,0,0,1,0,31,800.00,SPX230519P00800000,0.05,0,0,0.05,0,1.4097,0,0,3911
Fri May 19 2023,SPX230519C01000000,3068.2,0,3117.8,3122.4,0,0,1,0,5221,1000.00,SPX230519P01000000,0.05,0,0,0.05,0,1.2204,-0.0001,0,6675
Fri May 19 2023,SPX230519C01200000,0,0,2919,2923.5,0,0,1,0,0,1200.00,SPX230519P01200000,0.1,0,0,0.05,0,1.0665,-0.0001,0,2683
Fri May 19 2023,SPX230519C01400000,0,0,2720.1,2724.6,0,0,1,0,4,1400.00,SPX230519P01400000,0.05,0,0,0.05,0,0.9367,-0.0002,0,6622
Fri May 19 2023,SPX230519C01500000,2470.48,0,2620.6,2625.2,0,0,1,0,4,1500.00,SPX230519P01500000,0.05,0,0,0.05,0,0.8787,-0.0002,0,2633
Fri May 19 2023,SPX230519C01600000,2306.5,0,2521.2,2525.7,0,0,1,0,36,1600.00,SPX230519P01600000,0.07,0,0,0.05,0,0.8244,-0.0003,0,11558
Fri May 19 2023,SPX230519C01700000,0,0,2421.8,2426.3,0,0,1,0,0,1700.00,SPX230519P01700000,0.1,0,0.05,0.1,0,0.8324,-0.0003,0,11888
Fri May 19 2023,SPX230519C01800000,2163.82,0,2322.3,2326.9,0,0,1,0,0,1800.00,SPX230519P01800000,0.1,0,0.05,0.1,0,0.781,-0.0004,0,15964
Fri May 19 2023,SPX230519C01900000,0,0,2222.9,2227.4,0,0,1,0,0,1900.00,SPX230519P01900000,0.15,0,0.05,0.15,0,0.7479,-0.0005,0,15655
Fri May 19 2023,SPX230519C02000000,2119.03,12.23,2123.5,2128,1,0,0.9998,0,5021,2000.00,SPX230519P02000000,0.15,0.025,0.1,0.15,227,0.7128,-0.0006,0,18396
Fri May 19 2023,SPX230519C02100000,0,0,2024,2028.6,0,0,0.9997,0,0,2100.00,SPX230519P02100000,0.2,0,0.1,0.2,0,0.6768,-0.0008,0,11019
Fri May 19 2023,SPX230519C02200000,0,0,1924.6,1929.1,0,0,0.9995,0,0,2200.00,SPX230519P02200000,0.2,0,0.15,0.25,5,0.6478,-0.001,0,8521
