
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:57 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Nov 17 2023,SPX231117C00200000,3680,0,3882.6,3888.6,0,0,1,0,87,200.00,SPX231117P00200000,0.05,0,0,0.05,0,1.0938,-0.0001,0,413
Fri Nov 17 2023,SPX231117C00400000,3487.6,0,3688.7,3694.7,0,0,1,0,27,400.00,SPX231117P00400000,0.15,0,0.15,0.2,0,0.9598,-0.0003,0,2361
Fri Nov 17 2023,SPX231117C00600000,3260.7,0,3494.9,3500.8,0,0,1,0,10,600.00,SPX231117P00600000,0.3,-0.025,0.25,0.35,105,0.8275,-0.0005,0,8120
Fri Nov 17 2023,SPX231117C00800000,0,0,3301.2,3307.1,0,0.6099,1,0,0,800.00,SPX231117P00800000,1.35,0,0.6,0.7,0,0.7551,-0.0009,0,2815
Fri Nov 17 2023,SPX231117C01000000,3071.57,0,3107.6,3113.5,0,0.6394,0.9999,0,4,1000.00,SPX231117P01000000,1.1,-0.025,1.05,1.15,5,0.6894,-0.0015,0,2282
Fri Nov 17 2023,SPX231117C01200000,0,0,2914.2,2920,0,0.6046,0.999,0,0,1200.00,SPX231117P01200000,4.57,0,1.6,1.75,0,0.6319,-0.0024,0,783
Fri Nov 17 2023,SPX231117C01400000,0,0,2720.9,2726.7,0,0.5636,0.9977,0,0,1400.00,SPX231117P01400000,3.1,0,2.35,2.55,0,0.5817,-0.0037,0,534
Fri Nov 17 2023,SPX231117C01500000,0,0,2624.4,2630.1,0,0.544,0.9968,0,6,1500.00,SPX231117P01500000,3.4,0,2.85,3,0,0.5586,-0.0046,0,481
Fri Nov 17 2023,SPX231117C01600000,0,0,2528,2533.7,0,0.5266,0.9958,0,0,1600.00,SPX231117P01600000,3.87,0,3.4,3.6,0,0.5374,-0.0056,0,494
Fri Nov 17 2023,SPX231117C01700000,0,0,2431.6,2437.3,0,0.5077,0.9945,0,6,1700.00,SPX231117P01700000,4.6,0,4,4.2,0,0.5163,-0.0069,0,271
Fri Nov 17 2023,SPX231117C01800000,0,0,2335.3,2340.9,0,0.4887,0.9931,0,0,1800.00,SPX231117P01800000,4.9,-0.15,4.7,4.9,1,0.4963,-0.0083,0,407
Fri Nov 17 2023,SPX231117C01900000,0,0,2239.1,2244.7,0,0.4711,0.9914,0,0,1900.00,SPX231117P01900000,6.1,0,5.5,5.7,0,0.4772,-0.01,0,245
Fri Nov 17 2023,SPX231117C02000000,2107.4,0,2143,2148.6,0,0.4538,0.9895,0,9,2000.00,SPX231117P02000000,8,0,6.4,6.6,0,0.4587,-0.0119,0,523
Fri Nov 17 2023,SPX231117C02100000,1932.68,0,2047,2052.6,0,0.4367,0.9873,0,4,2100.00,SPX231117P02100000,7.8,-0.25,7.5,7.7,8,0.4416,-0.0141,0,538
Fri Nov 17 2023,SPX231117C02200000,0,0,1951.2,1956.8,0,0.4206,0.9847,0,1,2200.00,SPX231117P02200000,9.95,0,8.6,8.9,0,0.4242,-0.0167,0,376
Fri Nov 17 2023,SPX231117C02250000,1790.28,0,1903.4,1908.9,0,0.4125,0.9833,0,3,2250.00,SPX231117P02250000,11.01,0,9.3,9.5,0,0.4158,-0.0181,0,455
Fri Nov 17 2023,SPX231117C02300000,0,0,1855.6,1861.1,0,0.4046,0.9817,0,0,2300.00,SPX231117P02300000,10.75,0,10,10.2,0,0.4076,-0.0197,0,1578
Fri Nov 17 2023,SPX231117C02350000,0,0,1807.8,1813.4,0,0.3968,0.98,0,0,2350.00,SPX231117P02350000,13.21,0,10.7,11,0,0.3995,-0.0214,0,1412
Fri Nov 17 2023,SPX231117C02400000,0,0,1760.2,1765.7,0,0.3894,0.9782,0,0,2400.00,SPX231117P02400000,13.6,0,11.5,11.8,0,0.3915,-0.0232,0,2964
Fri Nov 17 2023,SPX231117C02450000,0,0,1712.5,1718.1,0,0.3818,0.9763,0,0,2450.00,SPX231117P02450000,12.7,-0.65,12.4,12.7,4,0.3839,-0.0251,0,803
Fri Nov 17 2023,SPX231117C02500000,0,0,1665,1670.5,0,0.3744,0.9742,0,0,2500.00,SPX231117P02500000,16.64,0,13.3,13.7,0,0.3762,-0.0272,0,2836
Fri Nov 17 2023,SPX231117C02550000,0,0,1617.6,1623.1,0,0.3674,0.9718,0.0001,0,2550.00,SPX231117P02550000,16.5,0,14.3,14.7,0,0.3686,-0.0296,0.0001,209
Fri Nov 17 2023,SPX231117C02600000,0,0,1570.2,1575.7,0,0.3602,0.9693,0.0001,0,2600.00,SPX231117P02600000,17.7,0,15.4,15.8,0,0.3613,-0.0321,0.0001,227
Fri Nov 17 2023,SPX231117C02625000,0,0,1546.5,1552,0,0.3565,0.9679,0.0001,0,2625.00,SPX231117P02625000,19.3,0,16,16.4,0,0.3577,-0.0335,0.0001,30
Fri Nov 17 2023,SPX231117C02650000,0,0,1522.9,1528.4,0,0.3531,0.9665,0.0001,0,2650.00,SPX231117P02650000,16.66,-1.19,16.7,17.1,2,0.3545,-0.0349,0.0001,362
Fri Nov 17 2023,SPX231117C02675000,0,0,1499.3,1504.8,0,0.3497,0.965,0.0001,0,2675.00,SPX231117P02675000,20.2,0,17.3,17.7,0,0.3508,-0.0364,0.0001,213
Fri Nov 17 2023,SPX231117C02700000,0,0,1475.7,1481.2,0,0.3462,0.9635,0.0001,0,2700.00,SPX231117P02700000,22.52,0,18,18.4,0,0.3474,-0.0379,0.0001,3297
Fri Nov 17 2023,SPX231117C02725000,0,0,1452.2,1457.7,0,0.3429,0.9619,0.0001,0,2725.00,SPX231117P02725000,21.3,0,18.7,19.1,0,0.3439,-0.0396,0.0001,179
Fri Nov 17 2023,SPX231117C02750000,0,0,1428.7,1434.1,0,0.3394,0.9602,0.0001,0,2750.00,SPX231117P02750000,22.25,0,19.4,19.9,0,0.3405,-0.0412,0.0001,409
Fri Nov 17 2023,SPX231117C02775000,0,0,1405.2,1410.7,0,0.3362,0.9584,0.0001,0,2775.00,SPX231117P02775000,22.85,0,20.2,20.6,0,0.3371,-0.043,0.0001,45
Fri Nov 17 2023,SPX231117C02800000,0,0,1381.8,1387.2,0,0.3329,0.9565,0.0001,2,2800.00,SPX231117P02800000,21.64,-0.81,21,21.5,9,0.3339,-0.0449,0.0001,1244
Fri Nov 17 2023,SPX231117C02825000,0,0,1358.4,1363.8,0,0.3297,0.9545,0.0001,0,2825.00,SPX231117P02825000,24.57,0,21.8,22.3,0,0.3304,-0.0469,0.0001,25
Fri Nov 17 2023,SPX231117C02850000,0,0,1335,1340.4,0,0.3263,0.9525,0.0001,0,2850.00,SPX231117P02850000,22.64,-1.71,22.7,23.2,7,0.3272,-0.0489,0.0001,1042
Fri Nov 17 2023,SPX231117C02875000,0,0,1311.7,1317.1,0,0.3232,0.9503,0.0001,3,2875.00,SPX231117P02875000,25.25,0,23.6,24.1,0,0.3239,-0.0511,0.0001,95
Fri Nov 17 2023,SPX231117C02900000,1167.39,0,1288.4,1293.8,0,0.32,0.948,0.0001,1,2900.00,SPX231117P02900000,26.61,0,24.6,25.1,0,0.3208,-0.0534,0.0001,3380
Fri Nov 17 2023,SPX231117C02925000,1083.16,0,1265.2,1270.5,0,0.3169,0.9457,0.0001,3,2925.00,SPX231117P02925000,29.14,0,25.6,26.1,0,0.3176,-0.0557,0.0001,587
Fri Nov 17 2023,SPX231117C02950000,0,0,1242,1247.3,0,0.3138,0.9432,0.0001,13,2950.00,SPX231117P02950000,29.55,0,26.7,27.2,0,0.3146,-0.0582,0.0001,53
Fri Nov 17 2023,SPX231117C02975000,1038.62,0,1218.8,1224.2,0,0.3107,0.9406,0.0001,0,2975.00,SPX231117P02975000,31.56,0,27.8,28.3,0,0.3114,-0.0608,0.0001,232
