
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:57 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Oct 20 2023,SPX231020C00200000,3675.94,0,3887.7,3893.5,0,0,1,0,1,200.00,SPX231020P00200000,0.05,0,0,0.05,0,1.1701,-0.0001,0,108
Fri Oct 20 2023,SPX231020C00400000,3445.8,0,3693.1,3698.8,0,0,1,0,10,400.00,SPX231020P00400000,0.1,0,0.05,0.15,0,0.984,-0.0002,0,1467
Fri Oct 20 2023,SPX231020C00600000,0,0,3498.5,3504.2,0,0,1,0,0,600.00,SPX231020P00600000,0.3,0,0.15,0.25,0,0.8561,-0.0004,0,2653
Fri Oct 20 2023,SPX231020C00800000,0,0,3304,3309.7,0,0,1,0,0,800.00,SPX231020P00800000,0.8,0,0.45,0.55,0,0.7882,-0.0008,0,2450
Fri Oct 20 2023,SPX231020C01000000,3072.29,0,3109.6,3115.2,0,0.6487,1,0,12,1000.00,SPX231020P01000000,0.85,-0.025,0.75,0.9,5,0.7162,-0.0013,0,223
Fri Oct 20 2023,SPX231020C01200000,0,0,2915.4,2920.9,0,0.6256,0.9992,0,0,1200.00,SPX231020P01200000,1.7,0,1.25,1.35,0,0.6568,-0.002,0,1673
Fri Oct 20 2023,SPX231020C01400000,0,0,2721.3,2726.8,0,0.587,0.9981,0,0,1400.00,SPX231020P01400000,5.2,0,1.9,2.05,0,0.606,-0.0031,0,571
Fri Oct 20 2023,SPX231020C01600000,0,0,2527.4,2532.9,0,0.547,0.9965,0,0,1600.00,SPX231020P01600000,3.25,0,2.75,2.9,0,0.5589,-0.0048,0,445
Fri Oct 20 2023,SPX231020C01700000,0,0,2430.5,2436,0,0.5264,0.9954,0,0,1700.00,SPX231020P01700000,3.6,0,3.2,3.4,0,0.5361,-0.0058,0,617
Fri Oct 20 2023,SPX231020C01800000,0,0,2333.8,2339.2,0,0.508,0.9942,0,0,1800.00,SPX231020P01800000,4,-0.15,3.8,4,1,0.5154,-0.0071,0,1771
Fri Oct 20 2023,SPX231020C01900000,0,0,2237.1,2242.5,0,0.4893,0.9927,0,0,1900.00,SPX231020P01900000,4.85,0,4.5,4.7,0,0.4957,-0.0085,0,1501
Fri Oct 20 2023,SPX231020C02000000,2103.84,0,2140.5,2145.9,0,0.4711,0.991,0,12,2000.00,SPX231020P02000000,5.9,0,5.3,5.4,0,0.476,-0.0102,0,4636
Fri Oct 20 2023,SPX231020C02100000,0,0,2044,2049.4,0,0.4532,0.989,0,0,2100.00,SPX231020P02100000,6.1,-0.5,6.1,6.3,1,0.457,-0.0122,0,4510
Fri Oct 20 2023,SPX231020C02200000,0,0,1947.6,1953,0,0.4356,0.9868,0,0,2200.00,SPX231020P02200000,7.2,-0.45,7.1,7.3,218,0.4389,-0.0145,0,2511
Fri Oct 20 2023,SPX231020C02300000,0,0,1851.3,1856.7,0,0.418,0.9841,0,0,2300.00,SPX231020P02300000,8.8,0,8.2,8.4,0,0.421,-0.0171,0,4281
Fri Oct 20 2023,SPX231020C02400000,0,0,1755.3,1760.6,0,0.4016,0.981,0,0,2400.00,SPX231020P02400000,10.1,0,9.4,9.7,0,0.4036,-0.0202,0,2173
Fri Oct 20 2023,SPX231020C02450000,0,0,1707.3,1712.7,0,0.3936,0.9793,0,0,2450.00,SPX231020P02450000,10.1,-0.85,10.2,10.4,16,0.3955,-0.0219,0,557
Fri Oct 20 2023,SPX231020C02500000,0,0,1659.4,1664.7,0,0.3853,0.9774,0,0,2500.00,SPX231020P02500000,10.8,-1,10.9,11.2,84,0.3871,-0.0238,0,5234
