
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:57 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 15 2023,SPX230915C00200000,3776.15,0,3891,3896.5,0,0,1,0,26,200.00,SPX230915P00200000,0.05,0,0,0.05,0,1.2925,-0.0001,0,330
Fri Sep 15 2023,SPX230915C00400000,3540.97,0,3695.4,3700.9,0,0,1,0,75,400.00,SPX230915P00400000,0.05,0,0.05,0.1,0,1.0645,-0.0002,0,9501
Fri Sep 15 2023,SPX230915C00600000,3482.62,0,3499.8,3505.3,0,0,1,0,35,600.00,SPX230915P00600000,0.15,0,0.1,0.2,0,0.9241,-0.0003,0,6544
Fri Sep 15 2023,SPX230915C00800000,3182.24,0,3304.4,3309.8,0,0,1,0,73,800.00,SPX230915P00800000,0.3,-0.05,0.3,0.35,150,0.8376,-0.0006,0,9109
Fri Sep 15 2023,SPX230915C01000000,3081.79,0,3109,3114.3,0,0,1,0,3999,1000.00,SPX230915P01000000,0.65,0,0.5,0.6,0,0.7604,-0.001,0,7783
Fri Sep 15 2023,SPX230915C01200000,0,0,2913.6,2919,0,0.5543,0.9997,0,103,1200.00,SPX230915P01200000,0.85,-0.075,0.8,0.95,77,0.696,-0.0015,0,5552
Fri Sep 15 2023,SPX230915C01400000,0,0,2718.4,2723.7,0,0.5824,0.9989,0,0,1400.00,SPX230915P01400000,1.25,-0.175,1.25,1.4,7,0.6396,-0.0023,0,4463
Fri Sep 15 2023,SPX230915C01500000,2477.57,0,2620.9,2626.2,0,0.5752,0.9984,0,6,1500.00,SPX230915P01500000,1.65,-0.075,1.55,1.7,4000,0.6145,-0.0028,0,10800
Fri Sep 15 2023,SPX230915C01600000,0,0,2523.4,2528.7,0,0.56,0.9977,0,0,1600.00,SPX230915P01600000,2.2,0,1.9,2.05,0,0.5905,-0.0035,0,8530
Fri Sep 15 2023,SPX230915C01700000,2265.51,0,2425.9,2431.2,0,0.5412,0.9969,0,1,1700.00,SPX230915P01700000,2.78,0,2.25,2.4,0,0.566,-0.0043,0,5764
Fri Sep 15 2023,SPX230915C01800000,0,0,2328.5,2333.8,0,0.5236,0.9959,0,0,1800.00,SPX230915P01800000,3.4,0,2.7,2.8,0,0.5432,-0.0053,0,7370
Fri Sep 15 2023,SPX230915C01900000,0,0,2231.2,2236.5,0,0.5066,0.9948,0,9,1900.00,SPX230915P01900000,3.9,0,3.1,3.3,0,0.5204,-0.0064,0,37629
Fri Sep 15 2023,SPX230915C02000000,2106.69,0,2134,2139.2,0,0.4887,0.9934,0,4220,2000.00,SPX230915P02000000,4.26,0,3.7,3.9,0,0.5001,-0.0078,0,40885
Fri Sep 15 2023,SPX230915C02100000,0,0,2036.8,2042,0,0.4703,0.9918,0,0,2100.00,SPX230915P02100000,5,0,4.3,4.5,0,0.479,-0.0094,0,7899
Fri Sep 15 2023,SPX230915C02150000,1871.18,0,1988.2,1993.5,0,0.4614,0.9908,0,2,2150.00,SPX230915P02150000,5,0,4.7,4.8,0,0.4691,-0.0103,0,2252
Fri Sep 15 2023,SPX230915C02200000,1751.98,0,1939.7,1944.9,0,0.4522,0.9899,0,3,2200.00,SPX230915P02200000,5.25,-0.25,5,5.2,2000,0.4589,-0.0113,0,11391
Fri Sep 15 2023,SPX230915C02250000,0,0,1891.2,1896.4,0,0.4434,0.9888,0,0,2250.00,SPX230915P02250000,6,0,5.4,5.6,0,0.4492,-0.0124,0,2757
Fri Sep 15 2023,SPX230915C02300000,1803.75,0,1842.7,1847.9,0,0.4342,0.9877,0,1,2300.00,SPX230915P02300000,5.91,-0.49,5.9,6,200,0.4399,-0.0135,0,22900
Fri Sep 15 2023,SPX230915C02350000,0,0,1794.2,1799.4,0,0.4249,0.9864,0,0,2350.00,SPX230915P02350000,6.7,-0.15,6.3,6.5,1,0.4304,-0.0148,0,1975
Fri Sep 15 2023,SPX230915C02400000,0,0,1745.8,1751,0,0.4163,0.9851,0,0,2400.00,SPX230915P02400000,7.2,-0.2,6.8,7,51,0.4211,-0.0161,0,10293
Fri Sep 15 2023,SPX230915C02450000,0,0,1697.4,1702.6,0,0.4075,0.9837,0,6,2450.00,SPX230915P02450000,9.5,0,7.3,7.5,0,0.4117,-0.0175,0,2660
